geo,time,metric,expected,baseline,actual
national_geo,2018-01-07,mean,10240.881,4949.4385,9779.8
national_geo,2018-01-07,ci_lo,9809.747,4511.4,9779.8
national_geo,2018-01-07,ci_hi,10674.442,5382.3213,9779.8
national_geo,2018-01-14,mean,13564.815,4932.745,13245.19
national_geo,2018-01-14,ci_lo,13221.326,4524.729,13245.19
national_geo,2018-01-14,ci_hi,13915.198,5334.5303,13245.19
national_geo,2018-01-21,mean,11994.964,4915.301,12022.66
national_geo,2018-01-21,ci_lo,11678.54,4536.5327,12022.66
national_geo,2018-01-21,ci_hi,12319.973,5286.6553,12022.66
national_geo,2018-01-28,mean,8384.985,4897.127,8846.95
national_geo,2018-01-28,ci_lo,8085.5986,4535.629,8846.95
national_geo,2018-01-28,ci_hi,8702.018,5248.2764,8846.95
national_geo,2018-02-04,mean,8615.042,4878.209,9797.07
national_geo,2018-02-04,ci_lo,8325.696,4531.9775,9797.07
national_geo,2018-02-04,ci_hi,8907.567,5211.0425,9797.07
national_geo,2018-02-11,mean,13709.629,4858.5864,13527.65
national_geo,2018-02-11,ci_lo,13449.576,4528.4097,13527.65
national_geo,2018-02-11,ci_hi,13969.3,5174.3657,13527.65
national_geo,2018-02-18,mean,10284.759,4838.284,9635.43
national_geo,2018-02-18,ci_lo,10041.442,4516.101,9635.43
national_geo,2018-02-18,ci_hi,10527.551,5147.2734,9635.43
national_geo,2018-02-25,mean,14809.135,4817.3354,15355.11
national_geo,2018-02-25,ci_lo,14576.679,4500.7314,15355.11
national_geo,2018-02-25,ci_hi,15041.353,5115.7085,15355.11
national_geo,2018-03-04,mean,12322.826,4795.7983,12199.37
national_geo,2018-03-04,ci_lo,12101.275,4484.8584,12199.37
national_geo,2018-03-04,ci_hi,12550.4375,5090.12,12199.37
national_geo,2018-03-11,mean,11715.561,4773.7217,11368.23
national_geo,2018-03-11,ci_lo,11489.246,4460.9097,11368.23
national_geo,2018-03-11,ci_hi,11936.405,5065.1084,11368.23
national_geo,2018-03-18,mean,8489.357,4751.1626,8640.44
national_geo,2018-03-18,ci_lo,8250.946,4437.827,8640.44
national_geo,2018-03-18,ci_hi,8727.311,5042.337,8640.44
national_geo,2018-03-25,mean,5824.4653,4728.2046,4960.26
national_geo,2018-03-25,ci_lo,5563.7207,4414.466,4960.26
national_geo,2018-03-25,ci_hi,6087.178,5022.9194,4960.26
national_geo,2018-04-01,mean,12554.707,4704.9414,12726.46
national_geo,2018-04-01,ci_lo,12279.475,4388.076,12726.46
national_geo,2018-04-01,ci_hi,12822.458,5003.236,12726.46
national_geo,2018-04-08,mean,11371.278,4681.4224,11421.71
national_geo,2018-04-08,ci_lo,11103.43,4359.395,11421.71
national_geo,2018-04-08,ci_hi,11638.257,4984.249,11421.71
national_geo,2018-04-15,mean,10739.503,4657.761,10875.31
national_geo,2018-04-15,ci_lo,10496.607,4335.3257,10875.31
national_geo,2018-04-15,ci_hi,10975.724,4966.6255,10875.31
national_geo,2018-04-22,mean,12714.813,4634.037,13048.08
national_geo,2018-04-22,ci_lo,12469.967,4299.134,13048.08
national_geo,2018-04-22,ci_hi,12959.981,4956.8853,13048.08
national_geo,2018-04-29,mean,10592.333,4610.3247,10775.86
national_geo,2018-04-29,ci_lo,10312.366,4252.295,10775.86
national_geo,2018-04-29,ci_hi,10861.576,4953.47,10775.86
national_geo,2018-05-06,mean,15023.141,4586.743,15013.62
national_geo,2018-05-06,ci_lo,14753.508,4214.863,15013.62
national_geo,2018-05-06,ci_hi,15299.653,4951.115,15013.62
national_geo,2018-05-13,mean,13926.709,4563.358,14158.32
national_geo,2018-05-13,ci_lo,13624.924,4167.3687,14158.32
national_geo,2018-05-13,ci_hi,14236.941,4954.4414,14158.32
national_geo,2018-05-20,mean,15742.216,4555.758,15918.14
national_geo,2018-05-20,ci_lo,15454.334,4181.626,15918.14
national_geo,2018-05-20,ci_hi,16028.715,4921.9297,15918.14
national_geo,2018-05-27,mean,11412.79,4548.5376,11128.75
national_geo,2018-05-27,ci_lo,11150.405,4192.8115,11128.75
national_geo,2018-05-27,ci_hi,11683.813,4898.2,11128.75
national_geo,2018-06-03,mean,12929.003,4541.7437,12170.36
national_geo,2018-06-03,ci_lo,12692.509,4193.9517,12170.36
national_geo,2018-06-03,ci_hi,13167.743,4880.722,12170.36
national_geo,2018-06-10,mean,10251.619,4535.4717,10134.7
national_geo,2018-06-10,ci_lo,10014.005,4199.262,10134.7
national_geo,2018-06-10,ci_hi,10499.713,4870.039,10134.7
national_geo,2018-06-17,mean,11837.942,4529.77,11093.55
national_geo,2018-06-17,ci_lo,11596.658,4203.548,11093.55
national_geo,2018-06-17,ci_hi,12080.736,4852.6675,11093.55
national_geo,2018-06-24,mean,7856.8804,4524.679,8170.63
national_geo,2018-06-24,ci_lo,7605.6426,4201.4526,8170.63
national_geo,2018-06-24,ci_hi,8098.7075,4844.2563,8170.63
national_geo,2018-07-01,mean,6101.872,4520.2676,6542.71
national_geo,2018-07-01,ci_lo,5843.98,4197.4697,6542.71
national_geo,2018-07-01,ci_hi,6352.104,4840.8765,6542.71
national_geo,2018-07-08,mean,10686.056,4516.5576,11325.8
national_geo,2018-07-08,ci_lo,10458.019,4198.8745,11325.8
national_geo,2018-07-08,ci_hi,10916.726,4831.862,11325.8
national_geo,2018-07-15,mean,8250.889,4513.5674,7793.24
national_geo,2018-07-15,ci_lo,8016.439,4197.5786,7793.24
national_geo,2018-07-15,ci_hi,8490.141,4825.546,7793.24
national_geo,2018-07-22,mean,15293.596,4511.3125,15010.94
national_geo,2018-07-22,ci_lo,15047.296,4195.594,15010.94
national_geo,2018-07-22,ci_hi,15529.458,4819.642,15010.94
national_geo,2018-07-29,mean,10176.556,4509.802,10634.31
national_geo,2018-07-29,ci_lo,9942.796,4201.7734,10634.31
national_geo,2018-07-29,ci_hi,10401.462,4813.995,10634.31
national_geo,2018-08-05,mean,11542.086,4509.032,11751.39
national_geo,2018-08-05,ci_lo,11318.087,4202.0864,11751.39
national_geo,2018-08-05,ci_hi,11756.072,4814.3013,11751.39
national_geo,2018-08-12,mean,8793.623,4508.9624,9151.2
national_geo,2018-08-12,ci_lo,8539.394,4201.7188,9151.2
national_geo,2018-08-12,ci_hi,9045.42,4810.6953,9151.2
national_geo,2018-08-19,mean,8741.605,4509.5767,9141.46
national_geo,2018-08-19,ci_lo,8461.811,4199.6523,9141.46
national_geo,2018-08-19,ci_hi,9016.253,4811.0903,9141.46
national_geo,2018-08-26,mean,7787.1196,4510.8384,7399.92
national_geo,2018-08-26,ci_lo,7524.244,4197.4727,7399.92
national_geo,2018-08-26,ci_hi,8046.514,4817.312,7399.92
national_geo,2018-09-02,mean,10838.153,4512.692,10893.16
national_geo,2018-09-02,ci_lo,10539.716,4190.4253,10893.16
national_geo,2018-09-02,ci_hi,11127.504,4828.0,10893.16
national_geo,2018-09-09,mean,11724.052,4515.09,11550.47
national_geo,2018-09-09,ci_lo,11448.201,4180.754,11550.47
national_geo,2018-09-09,ci_hi,11994.767,4838.973,11550.47
national_geo,2018-09-16,mean,8915.047,4517.947,8672.09
national_geo,2018-09-16,ci_lo,8616.94,4167.6646,8672.09
national_geo,2018-09-16,ci_hi,9217.288,4863.9272,8672.09
national_geo,2018-09-23,mean,9670.231,4540.5483,9427.22
national_geo,2018-09-23,ci_lo,9394.067,4210.909,9427.22
national_geo,2018-09-23,ci_hi,9953.183,4862.7173,9427.22
national_geo,2018-09-30,mean,7744.0957,4563.4526,8036.91
national_geo,2018-09-30,ci_lo,7490.953,4247.9487,8036.91
national_geo,2018-09-30,ci_hi,7994.106,4864.1113,8036.91
national_geo,2018-10-07,mean,11247.733,4586.602,11240.58
national_geo,2018-10-07,ci_lo,10976.292,4285.1113,11240.58
national_geo,2018-10-07,ci_hi,11524.783,4880.281,11240.58
national_geo,2018-10-14,mean,12517.81,4609.9126,12386.83
national_geo,2018-10-14,ci_lo,12264.053,4315.821,12386.83
national_geo,2018-10-14,ci_hi,12778.242,4894.88,12386.83
national_geo,2018-10-21,mean,12446.208,4633.2793,12513.84
national_geo,2018-10-21,ci_lo,12196.992,4337.941,12513.84
national_geo,2018-10-21,ci_hi,12694.893,4917.224,12513.84
national_geo,2018-10-28,mean,12840.343,4656.6187,12235.08
national_geo,2018-10-28,ci_lo,12574.339,4362.648,12235.08
national_geo,2018-10-28,ci_hi,13098.252,4939.17,12235.08
national_geo,2018-11-04,mean,12258.977,4679.848,11895.78
national_geo,2018-11-04,ci_lo,11905.103,4384.977,11895.78
national_geo,2018-11-04,ci_hi,12614.155,4963.8296,11895.78
national_geo,2018-11-11,mean,9042.822,4702.881,10047.41
national_geo,2018-11-11,ci_lo,8747.906,4409.193,10047.41
national_geo,2018-11-11,ci_hi,9333.155,4989.0435,10047.41
national_geo,2018-11-18,mean,9758.445,4725.6143,9705.39
national_geo,2018-11-18,ci_lo,9496.622,4430.746,9705.39
national_geo,2018-11-18,ci_hi,10023.964,5012.2773,9705.39
national_geo,2018-11-25,mean,8690.388,4747.984,8847.19
national_geo,2018-11-25,ci_lo,8427.691,4449.4785,8847.19
national_geo,2018-11-25,ci_hi,8953.262,5037.432,8847.19
national_geo,2018-12-02,mean,10749.191,4769.9214,10379.07
national_geo,2018-12-02,ci_lo,10518.218,4468.209,10379.07
national_geo,2018-12-02,ci_hi,10976.386,5062.7983,10379.07
national_geo,2018-12-09,mean,11131.465,4791.343,11312.48
national_geo,2018-12-09,ci_lo,10880.937,4484.611,11312.48
national_geo,2018-12-09,ci_hi,11379.604,5092.491,11312.48
national_geo,2018-12-16,mean,8174.5293,4812.1885,8226.23
national_geo,2018-12-16,ci_lo,7914.296,4501.677,8226.23
national_geo,2018-12-16,ci_hi,8430.492,5118.109,8226.23
national_geo,2018-12-23,mean,14498.13,4832.418,13966.11
national_geo,2018-12-23,ci_lo,14226.177,4516.614,13966.11
national_geo,2018-12-23,ci_hi,14769.551,5144.9404,13966.11
national_geo,2018-12-30,mean,13138.262,4851.9697,13460.32
national_geo,2018-12-30,ci_lo,12865.013,4521.4316,13460.32
national_geo,2018-12-30,ci_hi,13406.442,5168.647,13460.32
national_geo,2019-01-06,mean,14997.409,4870.8384,15742.61
national_geo,2019-01-06,ci_lo,14720.874,4525.227,15742.61
national_geo,2019-01-06,ci_hi,15265.725,5200.2417,15742.61
national_geo,2019-01-13,mean,10940.17,4888.983,10440.98
national_geo,2019-01-13,ci_lo,10665.671,4525.1685,10440.98
national_geo,2019-01-13,ci_hi,11216.97,5237.859,10440.98
national_geo,2019-01-20,mean,9118.053,4906.367,8535.49
national_geo,2019-01-20,ci_lo,8834.058,4517.651,8535.49
national_geo,2019-01-20,ci_hi,9402.745,5282.01,8535.49
national_geo,2019-01-27,mean,8121.66,4914.868,7801.58
national_geo,2019-01-27,ci_lo,7849.204,4551.9844,7801.58
national_geo,2019-01-27,ci_hi,8390.577,5265.148,7801.58
national_geo,2019-02-03,mean,9845.925,4922.646,9570.01
national_geo,2019-02-03,ci_lo,9580.194,4576.6304,9570.01
national_geo,2019-02-03,ci_hi,10119.522,5247.5396,9570.01
national_geo,2019-02-10,mean,7889.555,4929.706,7854.78
national_geo,2019-02-10,ci_lo,7655.711,4598.792,7854.78
national_geo,2019-02-10,ci_hi,8130.9194,5241.003,7854.78
national_geo,2019-02-17,mean,7632.153,4936.073,8067.55
national_geo,2019-02-17,ci_lo,7397.075,4619.976,8067.55
national_geo,2019-02-17,ci_hi,7865.282,5234.84,8067.55
national_geo,2019-02-24,mean,7636.398,4941.8135,7848.26
national_geo,2019-02-24,ci_lo,7397.3174,4640.2085,7848.26
national_geo,2019-02-24,ci_hi,7867.492,5235.5215,7848.26
national_geo,2019-03-03,mean,14142.312,4946.9614,14012.71
national_geo,2019-03-03,ci_lo,13881.631,4650.0713,14012.71
national_geo,2019-03-03,ci_hi,14400.558,5233.2173,14012.71
national_geo,2019-03-10,mean,15585.919,4951.5645,16127.45
national_geo,2019-03-10,ci_lo,15350.957,4660.4873,16127.45
national_geo,2019-03-10,ci_hi,15827.746,5231.6577,16127.45
national_geo,2019-03-17,mean,11405.69,4955.682,11636.97
national_geo,2019-03-17,ci_lo,11175.49,4666.857,11636.97
national_geo,2019-03-17,ci_hi,11632.554,5235.6587,11636.97
national_geo,2019-03-24,mean,9158.314,4959.419,8193.65
national_geo,2019-03-24,ci_lo,8937.4,4670.7173,8193.65
national_geo,2019-03-24,ci_hi,9378.568,5236.25,8193.65
national_geo,2019-03-31,mean,8509.194,4962.8237,9451.61
national_geo,2019-03-31,ci_lo,8265.976,4677.4644,9451.61
national_geo,2019-03-31,ci_hi,8757.998,5237.5415,9451.61
national_geo,2019-04-07,mean,10890.144,4966.0034,11454.02
national_geo,2019-04-07,ci_lo,10661.999,4682.834,11454.02
national_geo,2019-04-07,ci_hi,11116.562,5234.9243,11454.02
national_geo,2019-04-14,mean,6035.056,4969.016,5526.84
national_geo,2019-04-14,ci_lo,5789.3164,4687.285,5526.84
national_geo,2019-04-14,ci_hi,6285.606,5233.932,5526.84
national_geo,2019-04-21,mean,7751.559,4971.973,7677.52
national_geo,2019-04-21,ci_lo,7540.926,4691.649,7677.52
national_geo,2019-04-21,ci_hi,7965.175,5241.2935,7677.52
national_geo,2019-04-28,mean,7577.392,4974.9653,8084.98
national_geo,2019-04-28,ci_lo,7358.392,4688.991,8084.98
national_geo,2019-04-28,ci_hi,7801.0796,5243.5747,8084.98
national_geo,2019-05-05,mean,7607.714,4978.042,7456.56
national_geo,2019-05-05,ci_lo,7380.835,4682.21,7456.56
national_geo,2019-05-05,ci_hi,7843.8955,5256.7544,7456.56
national_geo,2019-05-12,mean,5098.681,4981.347,5365.18
national_geo,2019-05-12,ci_lo,4818.8594,4671.8154,5365.18
national_geo,2019-05-12,ci_hi,5366.3667,5272.383,5365.18
national_geo,2019-05-19,mean,7578.6597,4984.9346,8134.16
national_geo,2019-05-19,ci_lo,7311.4004,4661.6343,8134.16
national_geo,2019-05-19,ci_hi,7853.76,5295.222,8134.16
national_geo,2019-05-26,mean,10578.333,4988.888,10065.53
national_geo,2019-05-26,ci_lo,10267.178,4641.349,10065.53
national_geo,2019-05-26,ci_hi,10884.913,5319.812,10065.53
national_geo,2019-06-02,mean,11485.089,4966.1655,10878.94
national_geo,2019-06-02,ci_lo,11174.641,4640.976,10878.94
national_geo,2019-06-02,ci_hi,11789.837,5272.5244,10878.94
national_geo,2019-06-09,mean,11305.592,4943.972,11524.63
national_geo,2019-06-09,ci_lo,11045.811,4637.181,11524.63
national_geo,2019-06-09,ci_hi,11573.357,5231.1997,11524.63
national_geo,2019-06-16,mean,6421.1865,4922.3413,6563.85
national_geo,2019-06-16,ci_lo,6163.866,4628.189,6563.85
national_geo,2019-06-16,ci_hi,6665.8623,5197.88,6563.85
national_geo,2019-06-23,mean,13871.195,4901.327,14165.57
national_geo,2019-06-23,ci_lo,13612.866,4618.237,14165.57
national_geo,2019-06-23,ci_hi,14129.942,5172.4478,14165.57
national_geo,2019-06-30,mean,15757.161,4880.9927,15624.56
national_geo,2019-06-30,ci_lo,15496.683,4603.948,15624.56
