spend_multiplier,channel,incremental_outcome_ci_hi,incremental_outcome_ci_lo,incremental_outcome_mean,spend,weekly_spend
0.0,Facebook,0.0,0.0,0.0,0.0,0.0
0.0,Google Ads,0.0,0.0,0.0,0.0,0.0
0.0,TikTok,0.0,0.0,0.0,0.0,0.0
0.01,Facebook,5036.81396484375,3716.407470703125,4292.49560546875,4427.17,22.135849
0.01,Google Ads,8423.8232421875,5311.2890625,6520.0546875,3041.4458,15.207229
0.01,TikTok,7148.8203125,5926.7060546875,6517.94384765625,5892.415,29.462074
0.02,Facebook,10005.9951171875,7407.6025390625,8544.294921875,8854.34,44.271698
0.02,Google Ads,16662.39453125,10581.6044921875,12951.3916015625,6082.8916,30.414457
0.02,TikTok,14229.1142578125,11822.2734375,12986.4609375,11784.83,58.92415
0.03,Facebook,14910.0625,11072.8095703125,12756.1103515625,13281.51,66.40755
0.03,Google Ads,24716.109375,15810.3828125,19296.126953125,9124.338,45.62169
0.03,TikTok,21242.6171875,17678.724609375,19406.26953125,17677.244,88.38622
0.04,Facebook,19747.486328125,14716.1748046875,16928.599609375,17708.68,88.543396
0.04,Google Ads,32606.9140625,21004.052734375,25556.265625,12165.783,60.828915
0.04,TikTok,28184.560546875,23505.74609375,25778.068359375,23569.66,117.8483
0.05,Facebook,24515.9765625,18329.45703125,21062.37890625,22135.85,110.679245
0.05,Google Ads,40333.69140625,26146.02734375,31733.8203125,15207.2295,76.03615
0.05,TikTok,35066.74609375,29307.923828125,32102.369140625,29462.076,147.31038
0.06,Facebook,29227.958984375,21932.2578125,25158.20703125,26563.02,132.8151
0.06,Google Ads,47910.1796875,31244.4140625,37830.50390625,18248.676,91.24338
0.06,TikTok,41887.46875,35071.19921875,38380.0234375,35354.49,176.77245
0.07,Facebook,33885.65234375,25506.2578125,29216.607421875,30990.19,154.95094
0.07,Google Ads,55296.65234375,36325.44140625,43848.5234375,21290.121,106.45061
0.07,TikTok,48646.671875,40794.01171875,44611.6015625,41246.906,206.23453
0.08,Facebook,38456.7578125,29056.76171875,33238.22265625,35417.36,177.08679
0.08,Google Ads,62620.2109375,41356.4765625,49789.2265625,24331.566,121.65783
0.08,TikTok,55322.8046875,46479.91015625,50797.61328125,47139.32,235.6966
0.09,Facebook,42996.37890625,32580.888671875,37223.5546875,39844.53,199.22266
